timestamp,ph,turbidez_ntu,oxigenio_dissolvido,temperatura_c,bateria_v,label_classificacao
2025-01-01 00:00:00,6.87,16.41,6.36,27.75,11.91,0
2025-01-01 01:00:00,6.78,15.32,7.38,28.69,11.94,0
2025-01-01 02:00:00,6.9,8.63,6.18,28.31,11.6,0
2025-01-01 03:00:00,7.03,33.94,5.39,30.74,11.88,0
2025-01-01 04:00:00,6.76,49.64,6.56,28.81,11.84,0
2025-01-01 05:00:00,6.76,12.0,7.09,27.35,11.65,0
2025-01-01 06:00:00,7.04,27.1,6.64,27.41,13.31,0
2025-01-01 07:00:00,6.92,5.77,6.32,29.81,13.09,0
2025-01-01 08:00:00,6.73,23.55,6.62,25.71,13.52,0
2025-01-01 09:00:00,6.88,9.64,7.42,28.84,13.4,0
2025-01-01 10:00:00,6.73,1.7,6.06,26.33,12.98,0
2025-01-01 11:00:00,6.73,12.9,6.52,29.66,13.31,0
2025-01-01 12:00:00,6.84,56.59,6.83,27.35,13.54,0
2025-01-01 13:00:00,6.51,33.71,6.63,28.79,13.2,0
2025-01-01 14:00:00,6.54,16.06,6.38,28.06,13.39,0
2025-01-01 15:00:00,6.72,3.45,6.29,25.92,13.58,0
2025-01-01 16:00:00,6.65,1.78,6.36,28.96,13.35,0
2025-01-01 17:00:00,6.85,17.29,6.77,26.92,12.88,0
2025-01-01 18:00:00,6.66,22.45,6.74,29.2,13.0,0
2025-01-01 19:00:00,6.59,27.72,7.55,26.5,11.76,0
2025-01-01 20:00:00,7.02,25.53,5.73,28.36,11.89,0
2025-01-01 21:00:00,6.77,27.08,7.38,28.06,11.62,0
2025-01-01 22:00:00,6.81,20.5,6.4,27.1,11.84,0
2025-01-01 23:00:00,6.59,37.35,6.45,30.07,11.82,0
2025-01-02 00:00:00,6.72,10.76,6.93,28.05,11.72,0
2025-01-02 01:00:00,6.82,17.09,6.93,27.37,11.79,0
2025-01-02 02:00:00,6.63,2.78,7.08,28.45,11.85,0
2025-01-02 03:00:00,6.86,10.56,7.19,25.82,11.97,0
2025-01-02 04:00:00,6.71,33.08,6.48,31.68,11.76,0
2025-01-02 05:00:00,6.76,26.47,7.19,26.37,11.65,0
2025-01-02 06:00:00,6.71,0.97,6.19,28.83,13.35,0
2025-01-02 07:00:00,7.08,59.37,6.35,28.09,13.11,0
2025-01-02 08:00:00,6.8,18.78,6.41,29.77,12.9,0
2025-01-02 09:00:00,6.64,19.05,6.24,28.27,13.45,0
2025-01-02 10:00:00,6.92,9.99,6.53,27.04,13.55,0
2025-01-02 11:00:00,6.62,11.97,6.95,25.21,13.11,0
2025-01-02 12:00:00,6.83,18.62,6.83,25.33,13.38,0
2025-01-02 13:00:00,6.51,25.42,6.19,27.64,13.13,0
2025-01-02 14:00:00,6.6,21.21,6.15,30.06,13.2,0
2025-01-02 15:00:00,6.83,10.69,6.07,25.49,13.47,0
2025-01-02 16:00:00,6.91,7.53,6.54,30.77,12.87,0
2025-01-02 17:00:00,6.83,7.06,5.71,29.63,13.22,0
2025-01-02 18:00:00,6.78,34.86,6.05,25.98,12.97,0
2025-01-02 19:00:00,6.75,32.04,6.27,26.37,11.86,0
2025-01-02 20:00:00,6.58,23.78,7.03,26.52,11.74,0
2025-01-02 21:00:00,6.69,34.69,6.43,28.45,11.99,0
2025-01-02 22:00:00,6.73,15.1,7.0,27.92,11.76,0
2025-01-02 23:00:00,6.96,30.16,6.59,27.86,11.89,0
2025-01-03 00:00:00,6.85,24.67,6.26,27.24,11.73,0
2025-01-03 01:00:00,6.54,30.73,6.28,28.27,11.94,0
2025-01-03 02:00:00,6.85,6.4,5.92,29.26,11.71,0
2025-01-03 03:00:00,6.74,20.28,7.7,27.81,11.74,0
2025-01-03 04:00:00,6.7,12.54,7.06,27.01,11.61,0
2025-01-03 05:00:00,6.89,1.3,6.8,29.49,11.64,0
2025-01-03 06:00:00,6.95,38.69,5.85,27.67,13.03,0
2025-01-03 07:00:00,6.94,32.1,6.27,28.83,12.82,0
2025-01-03 08:00:00,6.67,21.61,6.01,27.85,13.32,0
2025-01-03 09:00:00,6.75,7.97,6.56,29.63,13.28,0
2025-01-03 10:00:00,6.85,2.63,6.04,29.85,12.82,0
2025-01-03 11:00:00,6.95,1.27,6.16,29.8,12.9,0
2025-01-03 12:00:00,6.73,10.5,6.05,27.17,13.27,0
2025-01-03 13:00:00,6.77,27.36,6.38,27.16,13.53,0
2025-01-03 14:00:00,6.63,12.64,6.54,29.31,13.53,0
2025-01-03 15:00:00,6.62,23.99,6.39,27.9,12.92,0
2025-01-03 16:00:00,6.92,24.85,7.27,27.95,13.11,0
2025-01-03 17:00:00,7.0,27.08,6.91,26.96,12.83,0
2025-01-03 18:00:00,6.79,2.08,6.11,30.11,13.18,0
2025-01-03 19:00:00,6.95,8.64,6.66,29.56,11.7,0
2025-01-03 20:00:00,6.85,23.68,6.15,27.82,11.68,0
2025-01-03 21:00:00,6.7,44.42,6.3,27.03,11.8,0
2025-01-03 22:00:00,6.85,36.35,6.74,26.97,11.96,0
2025-01-03 23:00:00,7.03,20.8,6.83,28.2,11.85,0
2025-01-04 00:00:00,6.79,38.97,6.21,28.58,11.63,0
2025-01-04 01:00:00,7.03,20.68,5.95,26.71,11.91,0
2025-01-04 02:00:00,6.41,3.59,6.54,26.13,11.87,0
2025-01-04 03:00:00,6.92,26.76,6.72,28.12,11.7,0
2025-01-04 04:00:00,6.81,37.2,6.18,29.3,11.71,0
2025-01-04 05:00:00,6.76,53.76,6.91,28.11,11.64,0
2025-01-04 06:00:00,6.81,10.24,6.82,27.63,13.11,0
2025-01-04 07:00:00,6.5,5.75,6.17,26.3,13.21,0
2025-01-04 08:00:00,6.77,30.23,7.07,27.05,13.17,0
2025-01-04 09:00:00,6.85,22.66,7.08,29.32,13.54,0
2025-01-04 10:00:00,7.02,21.2,7.53,26.12,13.42,0
2025-01-04 11:00:00,6.72,39.34,7.36,30.66,13.47,0
2025-01-04 12:00:00,6.68,30.14,6.05,28.13,12.91,0
2025-01-04 13:00:00,6.72,24.22,6.96,25.62,13.43,0
2025-01-04 14:00:00,6.94,11.39,6.94,28.75,13.15,0
2025-01-04 15:00:00,6.85,28.47,6.33,28.68,12.82,0
2025-01-04 16:00:00,6.72,5.51,6.73,27.34,12.85,0
2025-01-04 17:00:00,6.88,20.64,5.56,29.41,13.34,0
2025-01-04 18:00:00,6.81,16.23,5.55,27.07,13.1,0
2025-01-04 19:00:00,6.95,3.39,5.64,28.95,11.65,0
2025-01-04 20:00:00,6.69,22.71,6.69,27.95,11.71,0
2025-01-04 21:00:00,6.75,10.26,6.72,27.57,11.99,0
2025-01-04 22:00:00,6.74,22.31,6.36,30.01,11.73,0
2025-01-04 23:00:00,6.58,7.11,7.36,29.48,11.92,0
2025-01-05 00:00:00,6.84,30.35,6.99,26.34,11.83,0
2025-01-05 01:00:00,6.84,49.05,5.7,28.57,11.75,0
2025-01-05 02:00:00,6.8,5.51,6.41,30.84,11.65,0
2025-01-05 03:00:00,6.76,7.1,6.03,30.05,11.82,0
2025-01-05 04:00:00,6.59,4.59,6.71,26.64,11.68,0
2025-01-05 05:00:00,6.74,14.05,6.48,30.39,11.69,0
2025-01-05 06:00:00,6.75,22.06,6.06,29.4,13.13,0
2025-01-05 07:00:00,6.68,27.26,7.35,26.43,13.2,0
2025-01-05 08:00:00,6.78,20.34,6.53,28.31,13.36,0
2025-01-05 09:00:00,6.86,26.68,6.29,28.72,12.82,0
2025-01-05 10:00:00,7.08,15.79,6.37,26.38,13.51,0
2025-01-05 11:00:00,6.83,10.16,7.31,29.06,13.42,0
2025-01-05 12:00:00,6.84,7.27,6.96,31.64,13.0,0
2025-01-05 13:00:00,6.79,14.47,6.42,30.05,13.58,0
2025-01-05 14:00:00,6.51,7.44,6.0,28.24,12.94,0
2025-01-05 15:00:00,6.8,21.58,6.08,27.58,13.53,0
2025-01-05 16:00:00,6.81,7.56,6.26,28.49,13.06,0
2025-01-05 17:00:00,7.17,11.13,6.75,26.54,13.41,0
2025-01-05 18:00:00,6.77,34.74,6.88,27.28,13.17,0
2025-01-05 19:00:00,6.85,37.02,6.14,25.06,11.71,0
2025-01-05 20:00:00,6.79,36.23,6.9,28.65,11.94,0
2025-01-05 21:00:00,6.62,15.99,6.05,27.49,11.89,0
2025-01-05 22:00:00,6.97,10.52,6.19,28.93,11.96,0
2025-01-05 23:00:00,6.91,24.0,5.78,28.18,11.65,0
2025-01-06 00:00:00,6.92,7.7,5.76,26.48,11.88,0
2025-01-06 01:00:00,6.66,28.21,6.04,28.3,11.72,0
2025-01-06 02:00:00,7.01,9.72,6.49,26.93,11.67,0
2025-01-06 03:00:00,6.59,14.0,6.0,30.48,11.64,0
2025-01-06 04:00:00,6.89,28.64,7.25,26.73,11.96,0
2025-01-06 05:00:00,7.13,2.48,6.03,27.29,11.64,0
2025-01-06 06:00:00,6.65,10.08,6.59,26.48,12.96,0
2025-01-06 07:00:00,6.72,21.92,7.16,26.35,13.39,0
2025-01-06 08:00:00,6.81,25.41,6.55,28.05,13.38,0
2025-01-06 09:00:00,6.72,22.55,6.32,26.13,12.81,0
2025-01-06 10:00:00,6.57,13.86,6.57,27.72,12.98,0
2025-01-06 11:00:00,6.81,30.66,6.22,28.65,13.19,0
2025-01-06 12:00:00,6.64,7.05,6.0,27.36,13.14,0
2025-01-06 13:00:00,6.87,6.76,6.81,24.7,13.53,0
2025-01-06 14:00:00,6.66,21.76,6.21,30.0,13.09,0
2025-01-06 15:00:00,7.03,6.32,6.97,28.4,13.55,0
2025-01-06 16:00:00,6.68,50.17,6.9,28.42,13.17,0
2025-01-06 17:00:00,6.75,10.33,6.58,27.65,13.57,0
2025-01-06 18:00:00,6.92,30.27,6.99,29.22,13.39,0
2025-01-06 19:00:00,6.62,5.3,6.23,29.41,11.67,0
2025-01-06 20:00:00,6.83,43.32,6.89,29.56,11.96,0
